,actual,holt_winters,arima,garch
2019-01-31,60.99857227858123,55.78133849859951,59.85870074269518,54.85688135858014
2019-02-28,63.140178656980645,55.81853519297872,62.162712321474665,54.85688135858014
2019-03-31,65.44138345834035,55.85573188735794,63.9998462098231,54.85688135858014
2019-04-30,65.23377575071237,55.89292858173715,64.60755127933467,54.85688135858014
2019-05-31,62.88066603974984,55.930125276116364,63.81159367881609,54.85688135858014
2019-06-30,63.90586327242677,55.967321970495576,61.87765558814375,54.85688135858014
2019-07-31,59.31182856182173,56.00451866487479,59.344222522376434,54.85688135858014
2019-08-31,57.966321942014886,56.041715359254006,56.91197923170139,54.85688135858014
2019-09-30,56.36502410851542,56.07891205363322,55.25256481121629,54.85688135858014
2019-10-31,54.67692268001841,56.11610874801243,54.8278396791176,54.85688135858014
2019-11-30,56.199918737978514,56.15330544239164,55.76763998985863,54.85688135858014
2019-12-31,58.42220667156653,56.19050213677085,57.836298003574385,54.85688135858014
