date,value
2010-01-31,51.76405234596766
2010-02-28,52.984190821812604
2010-03-31,55.47693222991869
2010-04-30,57.49299403953759
2010-05-31,56.53381946285367
2010-06-30,51.94289018735048
2010-07-31,51.45429009819786
2010-08-31,47.93687808581995
2010-09-30,46.238923036847275
2010-10-31,46.166901022946774
2010-11-30,46.654252686692466
2010-12-31,49.87864325486213
2011-01-31,51.769441086491526
2011-02-28,53.71411199128275
2011-03-31,55.95046083990292
2011-04-30,56.59417852905494
2011-05-31,57.16874390720585
2011-06-30,53.72341316480563
2011-07-31,51.82567274366771
2011-08-31,48.24254291616046
2011-09-30,44.79755543415129
2011-10-31,47.418324477793306
2011-11-30,48.38304867573564
2011-12-31,48.69060808883726
2012-01-31,54.286561346676685
2012-02-29,53.14647466153569
2012-03-31,56.560759485803466
2012-04-30,57.08172371299938
2012-05-31,58.215847409751234
2012-06-30,56.40633355981625
2012-07-31,52.67595582905826
2012-08-31,50.48320453640889
2012-09-30,47.471162863699796
2012-10-31,45.79231277547355
2012-11-30,48.17910368889451
2012-12-31,50.59752543969221
2013-01-31,54.25550076476134
2013-02-28,56.811623546263405
2013-03-31,57.13607751243861
2013-04-30,57.975008173794414
2013-05-31,56.642918591670224
2013-06-30,54.52536021408153
2013-07-31,51.82314157408087
2013-08-31,53.06422077338305
2013-09-30,48.857699790922794
2013-10-31,48.34343830343083
2013-11-30,48.28262383951528
2013-12-31,52.22707018776468
2014-01-31,52.4197155978202
2014-02-28,56.40490677860956
2014-03-31,57.63634112999742
2014-04-30,59.672616783573545
2014-05-31,58.18906978051298
2014-06-30,55.77314932848263
2014-07-31,54.50963289771176
2014-08-31,52.55018061002622
2014-09-30,50.44227255640215
2014-10-31,50.09238786412634
2014-11-30,49.909500467228774
2014-12-31,52.095242027290176
2015-01-31,54.36955635894674
2015-02-28,57.26649725862753
2015-03-31,58.72706477049118
2015-04-30,58.56783504472715
2015-05-31,59.885704421680146
2015-06-30,57.56040393774132
2015-07-31,53.91602014042891
2015-08-31,53.59303435636611
2015-09-30,50.47686033098028
2015-10-31,50.85026472352723
2015-11-30,52.28131648443182
2015-12-31,53.59536946537926
2016-01-31,57.18982085261053
2016-02-29,57.39962796115895
2016-03-31,60.95095605505772
2016-04-30,60.61771091746305
2016-05-31,59.84588449158905
2016-06-30,58.391738570529704
2016-07-31,56.24306931661212
2016-08-31,54.19482080441462
2016-09-30,51.22741221592471
2016-10-31,52.707549176029815
2016-11-30,53.02629172332928
2016-12-31,52.938546229689166
2017-01-31,58.54707572320737
2017-02-28,61.53874631888773
2017-03-31,62.735797346384366
2017-04-30,62.13099953393555
2017-05-31,60.65433238060493
2017-06-30,61.03344332356979
2017-07-31,57.15984826311085
2017-08-31,56.36950389391184
2017-09-30,53.60924039612946
2017-10-31,53.79176508690388
2017-11-30,53.92539904211776
2017-12-31,56.189766445502876
2018-01-31,58.07772691147712
2018-02-28,62.43713099810751
2018-03-31,62.69233322927287
2018-04-30,63.721317094537135
2018-05-31,64.61663906051626
2018-06-30,59.639635896840744
2018-07-31,57.300943572942835
2018-08-31,57.12485889303196
2018-09-30,53.23624537428297
2018-10-31,55.767150597414
2018-11-30,54.16381702552814
2018-12-31,55.744141827214705
2019-01-31,60.99857227858123
2019-02-28,63.140178656980645
2019-03-31,65.44138345834035
2019-04-30,65.23377575071237
2019-05-31,62.88066603974984
2019-06-30,63.905863272426764
2019-07-31,59.31182856182173
2019-08-31,57.966321942014886
2019-09-30,56.36502410851542
2019-10-31,54.67692268001841
2019-11-30,56.199918737978514
2019-12-31,58.42220667156653
